Instance,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
lin105.tsp,107521,107464,19366,16644,16462,16462,16462,16462,16462,16462,16462,16462,16462,16462,16462,16462,16462,16462,16462,16462,16462
lin105.tsp,106001,107278,18619,16409,15992,15981,15981,15981,15981,15981,15981,15981,15981,15981,15981,15981,15981,15981,15981,15981,15981
lin105.tsp,106415,105895,18911,16956,16526,16484,16484,16484,16484,16484,16484,16484,16484,16484,16484,16484,16484,16484,16484,16484,16484
lin105.tsp,105075,104082,18876,15234,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123
lin105.tsp,111819,108979,18281,16318,16127,16102,16049,16049,16049,16049,16049,16049,16049,16049,16049,16049,16049,16049,16049,16049,16049
lin105.tsp,107782,104767,18460,15934,15729,15729,15729,15729,15729,15729,15729,15729,15729,15729,15729,15729,15729,15729,15729,15729,15729
lin105.tsp,111328,106204,18963,16481,15576,15456,15437,15437,15437,15437,15437,15437,15437,15437,15437,15437,15437,15437,15437,15437,15437
lin105.tsp,110906,106666,17174,15521,15238,15096,15051,15051,15051,15051,15051,15051,15051,15051,15051,15051,15051,15051,15051,15051,15051
lin105.tsp,109089,108276,17831,15810,15741,15697,15697,15697,15697,15697,15697,15697,15697,15697,15697,15697,15697,15697,15697,15697,15697
lin105.tsp,110423,102987,18646,16565,16178,16024,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899
lin105.tsp,107821,106288,18380,16192,16143,16143,16143,16143,16143,16143,16143,16143,16143,16143,16143,16143,16143,16143,16143,16143,16143
lin105.tsp,110539,109725,18277,15658,15356,15196,15196,15196,15196,15196,15196,15196,15196,15196,15196,15196,15196,15196,15196,15196,15196
lin105.tsp,109064,102388,17329,15630,15497,15497,15497,15497,15497,15497,15497,15497,15497,15497,15497,15497,15497,15497,15497,15497,15497
lin105.tsp,102091,100983,18036,16176,16135,16135,16135,16135,16135,16135,16135,16135,16135,16135,16135,16135,16135,16135,16135,16135,16135
lin105.tsp,106591,105904,17043,15590,15388,15388,15388,15388,15388,15388,15388,15388,15388,15388,15388,15388,15388,15388,15388,15388,15388
lin105.tsp,104627,104082,18662,16570,16570,16570,16570,16570,16570,16570,16570,16570,16570,16570,16570,16570,16570,16570,16570,16570,16570
lin105.tsp,112551,98294,18773,15692,15385,15342,15342,15342,15342,15342,15342,15342,15342,15342,15342,15342,15342,15342,15342,15342,15342
lin105.tsp,108244,104378,18660,15947,15915,15915,15915,15915,15915,15915,15915,15915,15915,15915,15915,15915,15915,15915,15915,15915,15915
,,,,,,,,,,,,,,,,,,,,,
pcb442.tsp,728597,730133,280617,179607,137772,113182,97317,88877,83940,79596,74838,71172,68427,67106,65280,63710,62860,61971,61441,61055,60642
pcb442.tsp,735879,725418,284252,188447,145993,119691,105368,95160,85557,81248,77258,73641,70874,69126,67675,65844,64549,63810,63284,62402,61744
